site,name,day,total rainfall (mm),latitude,longitude
TA00136,Notre Dame Seminary/SHS, Navrongo,2018-05-17,0,10.8833736,-1.0711047
TA00136,Notre Dame Seminary/SHS, Navrongo,2018-05-18,0,10.8833736,-1.0711047
TA00136,Notre Dame Seminary/SHS, Navrongo,2018-05-19,0,10.8833736,-1.0711047
TA00137,Anum Presby SHS,2018-05-15,0,6.499433,0.148033
TA00137,Anum Presby SHS,2018-05-16,0,6.499433,0.148033
TA00137,Anum Presby SHS,2018-05-17,0,6.499433,0.148033
TA00137,Anum Presby SHS,2018-05-18,0,6.499433,0.148033
TA00137,Anum Presby SHS,2018-05-19,0,6.499433,0.148033
TA00142,Obuasi SHTS,2018-05-15,6.4,6.1969032,-1.682612
TA00142,Obuasi SHTS,2018-05-16,0.37,6.1969032,-1.682612
TA00142,Obuasi SHTS,2018-05-17,0.57,6.1969032,-1.682612
TA00142,Obuasi SHTS,2018-05-18,2.61,6.1969032,-1.682612
TA00142,Obuasi SHTS,2018-05-19,0.06,6.1969032,-1.682612
TA00143,KNUST JHS,2018-05-15,0,6.6844356,-1.5686934
TA00143,KNUST JHS,2018-05-16,1.37,6.6844356,-1.5686934
TA00143,KNUST JHS,2018-05-17,12.89,6.6844356,-1.5686934
TA00143,KNUST JHS,2018-05-18,0,6.6844356,-1.5686934
TA00143,KNUST JHS,2018-05-19,0,6.6844356,-1.5686934
TA00177,Alogboshie,2018-05-15,0,5.6270224,-0.2314436
TA00177,Alogboshie,2018-05-16,0,5.6270224,-0.2314436
TA00177,Alogboshie,2018-05-17,34.94,5.6270224,-0.2314436
TA00177,Alogboshie,2018-05-18,0.02,5.6270224,-0.2314436
TA00177,Alogboshie,2018-05-19,0.02,5.6270224,-0.2314436
TA00181,Konongo Odumasi SHS,2018-05-15,0,6.6147078,-1.2272438
TA00181,Konongo Odumasi SHS,2018-05-16,1.02,6.6147078,-1.2272438
TA00181,Konongo Odumasi SHS,2018-05-17,21.87,6.6147078,-1.2272438
TA00181,Konongo Odumasi SHS,2018-05-18,0,6.6147078,-1.2272438
TA00181,Konongo Odumasi SHS,2018-05-19,0,6.6147078,-1.2272438
TA00241,Okuapeman SHS, Akropong Akuapem,2018-05-15,0.13,5.9594536,-0.0945284
TA00241,Okuapeman SHS, Akropong Akuapem,2018-05-16,0.29,5.9594536,-0.0945284
TA00241,Okuapeman SHS, Akropong Akuapem,2018-05-17,9.7,5.9594536,-0.0945284
TA00241,Okuapeman SHS, Akropong Akuapem,2018-05-18,0.36,5.9594536,-0.0945284
TA00241,Okuapeman SHS, Akropong Akuapem,2018-05-19,0.13,5.9594536,-0.0945284
TA00248,Osudoku SHTS, Asutsuare,2018-05-15,0.02,6.0756705,0.1962613
