,site,name,day,total rainfall (mm),latitude,longitude
229,TA00126,Berekuso - Ashesi Unversity,2018-05-19,0.2,5.758029,-0.221716
230,TA00127,Alogboshie,2018-05-15,0,5.627016,-0.231426
231,TA00127,Alogboshie,2018-05-16,0,5.627016,-0.231426
232,TA00127,Alogboshie,2018-05-17,0,5.627016,-0.231426
233,TA00127,Alogboshie,2018-05-18,0,5.627016,-0.231426
234,TA00127,Alogboshie,2018-05-19,0,5.627016,-0.231426
235,TA00128,Odawna (Sahara),2018-05-15,0,5.560642,-0.217823
236,TA00128,Odawna (Sahara),2018-05-16,0,5.560642,-0.217823
237,TA00128,Odawna (Sahara),2018-05-17,0,5.560642,-0.217823
238,TA00128,Odawna (Sahara),2018-05-18,0,5.560642,-0.217823
239,TA00128,Odawna (Sahara),2018-05-19,0,5.560642,-0.217823
240,TA00136,"Notre Dame Seminary/SHS, Navrongo",2018-05-15,0,10.8833736,-1.0711047
241,TA00136,"Notre Dame Seminary/SHS, Navrongo",2018-05-16,0,10.8833736,-1.0711047
242,TA00136,"Notre Dame Seminary/SHS, Navrongo",2018-05-17,0,10.8833736,-1.0711047
243,TA00136,"Notre Dame Seminary/SHS, Navrongo",2018-05-18,0,10.8833736,-1.0711047
244,TA00136,"Notre Dame Seminary/SHS, Navrongo",2018-05-19,0,10.8833736,-1.0711047
245,TA00137,Anum Presby SHS,2018-05-15,0,6.499433,0.148033
246,TA00137,Anum Presby SHS,2018-05-16,0,6.499433,0.148033
247,TA00137,Anum Presby SHS,2018-05-17,0,6.499433,0.148033
248,TA00137,Anum Presby SHS,2018-05-18,0,6.499433,0.148033
249,TA00137,Anum Presby SHS,2018-05-19,0,6.499433,0.148033
250,TA00142,Obuasi SHTS,2018-05-15,6.4,6.1969032,-1.682612
251,TA00142,Obuasi SHTS,2018-05-16,0.37,6.1969032,-1.682612
252,TA00142,Obuasi SHTS,2018-05-17,0.57,6.1969032,-1.682612
253,TA00142,Obuasi SHTS,2018-05-18,2.61,6.1969032,-1.682612
254,TA00142,Obuasi SHTS,2018-05-19,0.06,6.1969032,-1.682612
255,TA00143,KNUST JHS,2018-05-15,0,6.6844356,-1.5686934
256,TA00143,KNUST JHS,2018-05-16,1.37,6.6844356,-1.5686934
257,TA00143,KNUST JHS,2018-05-17,12.89,6.6844356,-1.5686934
258,TA00143,KNUST JHS,2018-05-18,0,6.6844356,-1.5686934
259,TA00143,KNUST JHS,2018-05-19,0,6.6844356,-1.5686934
260,TA00177,Alogboshie,2018-05-15,0,5.6270224,-0.2314436
261,TA00177,Alogboshie,2018-05-16,0,5.6270224,-0.2314436
262,TA00177,Alogboshie,2018-05-17,34.94,5.6270224,-0.2314436
263,TA00177,Alogboshie,2018-05-18,0.02,5.6270224,-0.2314436
264,TA00177,Alogboshie,2018-05-19,0.02,5.6270224,-0.2314436
265,TA00181,Konongo Odumasi SHS,2018-05-15,0,6.6147078,-1.2272438
266,TA00181,Konongo Odumasi SHS,2018-05-16,1.02,6.6147078,-1.2272438
267,TA00181,Konongo Odumasi SHS,2018-05-17,21.87,6.6147078,-1.2272438
268,TA00181,Konongo Odumasi SHS,2018-05-18,0,6.6147078,-1.2272438
269,TA00181,Konongo Odumasi SHS,2018-05-19,0,6.6147078,-1.2272438
270,TA00241,"Okuapeman SHS, Akropong Akuapem",2018-05-15,0.13,5.9594536,-0.0945284
271,TA00241,"Okuapeman SHS, Akropong Akuapem",2018-05-16,0.29,5.9594536,-0.0945284
272,TA00241,"Okuapeman SHS, Akropong Akuapem",2018-05-17,9.7,5.9594536,-0.0945284
273,TA00241,"Okuapeman SHS, Akropong Akuapem",2018-05-18,0.36,5.9594536,-0.0945284
274,TA00241,"Okuapeman SHS, Akropong Akuapem",2018-05-19,0.13,5.9594536,-0.0945284
275,TA00248,"Osudoku SHTS, Asutsuare",2018-05-15,0.02,6.0756705,0.1962613
276,TA00248,"Osudoku SHTS, Asutsuare",2018-05-16,0.98,6.0756705,0.1962613
277,TA00248,"Osudoku SHTS, Asutsuare",2018-05-17,6.67,6.0756705,0.1962613
278,TA00248,"Osudoku SHTS, Asutsuare",2018-05-18,0.1,6.0756705,0.1962613
279,TA00248,"Osudoku SHTS, Asutsuare",2018-05-19,0,6.0756705,0.1962613
280,TA00249,"St. Peter s R/C JHS/ St. John s R/C JHS, Tuna",2018-05-15,0.61,9.4941781,-2.4347746
281,TA00249,"St. Peter s R/C JHS/ St. John s R/C JHS, Tuna",2018-05-16,0.07,9.4941781,-2.4347746
282,TA00249,"St. Peter s R/C JHS/ St. John s R/C JHS, Tuna",2018-05-17,3,9.4941781,-2.4347746
283,TA00249,"St. Peter s R/C JHS/ St. John s R/C JHS, Tuna",2018-05-18,0.58,9.4941781,-2.4347746
284,TA00249,"St. Peter s R/C JHS/ St. John s R/C JHS, Tuna",2018-05-19,0.05,9.4941781,-2.4347746
285,TA00251,"Daffiama SHS, Daffiama",2018-05-15,0,10.4249548,-2.55448
286,TA00251,"Daffiama SHS, Daffiama",2018-05-16,0,10.4249548,-2.55448
287,TA00251,"Daffiama SHS, Daffiama",2018-05-17,0,10.4249548,-2.55448
288,TA00251,"Daffiama SHS, Daffiama",2018-05-18,0,10.4249548,-2.55448
289,TA00251,"Daffiama SHS, Daffiama",2018-05-19,0,10.4249548,-2.55448
290,TA00253,"Han SHS, Han",2018-05-15,0,10.6704061,-2.4647696
291,TA00253,"Han SHS, Han",2018-05-16,0,10.6704061,-2.4647696
292,TA00253,"Han SHS, Han",2018-05-17,20.16,10.6704061,-2.4647696
293,TA00253,"Han SHS, Han",2018-05-18,0.1,10.6704061,-2.4647696
294,TA00253,"Han SHS, Han",2018-05-19,0,10.6704061,-2.4647696
295,TA00254,"Bongo SHS, Bongo",2018-05-15,0,10.9132026,-0.8101152
296,TA00254,"Bongo SHS, Bongo",2018-05-16,0.63,10.9132026,-0.8101152
297,TA00254,"Bongo SHS, Bongo",2018-05-17,2.11,10.9132026,-0.8101152
298,TA00254,"Bongo SHS, Bongo",2018-05-18,0.04,10.9132026,-0.8101152
299,TA00254,"Bongo SHS, Bongo",2018-05-19,0,10.9132026,-0.8101152
300,TA00259,"Kpandai SHS, Kpandai",2018-05-15,0,8.47606,0.02853
301,TA00259,"Kpandai SHS, Kpandai",2018-05-16,0,8.47606,0.02853
302,TA00259,"Kpandai SHS, Kpandai",2018-05-17,0,8.47606,0.02853
303,TA00259,"Kpandai SHS, Kpandai",2018-05-18,0,8.47606,0.02853
304,TA00259,"Kpandai SHS, Kpandai",2018-05-19,0,8.47606,0.02853
305,TA00260,"Bimbilla SHS, Bimbilla",2018-05-15,0,8.86232,0.05191
306,TA00260,"Bimbilla SHS, Bimbilla",2018-05-16,0,8.86232,0.05191
307,TA00260,"Bimbilla SHS, Bimbilla",2018-05-17,0,8.86232,0.05191
308,TA00260,"Bimbilla SHS, Bimbilla",2018-05-18,0,8.86232,0.05191
309,TA00260,"Bimbilla SHS, Bimbilla",2018-05-19,0,8.86232,0.05191
310,TA00262,"Atebubu SHS, Atebubu",2018-05-15,0.02,7.7402922,-0.9716813
311,TA00262,"Atebubu SHS, Atebubu",2018-05-16,0,7.7402922,-0.9716813
312,TA00262,"Atebubu SHS, Atebubu",2018-05-17,1.48,7.7402922,-0.9716813
313,TA00262,"Atebubu SHS, Atebubu",2018-05-18,0,7.7402922,-0.9716813
314,TA00262,"Atebubu SHS, Atebubu",2018-05-19,0,7.7402922,-0.9716813
315,TA00263,Odawna Sahara,2018-05-15,0,5.561,-0.218
316,TA00263,Odawna Sahara,2018-05-16,0,5.561,-0.218
317,TA00263,Odawna Sahara,2018-05-17,0,5.561,-0.218
318,TA00263,Odawna Sahara,2018-05-18,0,5.561,-0.218
319,TA00263,Odawna Sahara,2018-05-19,0,5.561,-0.218
320,TA00264,"Gbewaa College of Education, Pusiga",2018-05-15,0,11.0688601,-0.1147799
